,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
190,50,8,1,Colorado,Adams County,11,0,511868,258470,253398,222375,217943,10719,9452,6018,5636,10711,11661,560,548,8087,8158,229742,225446,13829,12399,9372,9171,13355,14311,1080,1061,152547,152276,126916,126989,8772,7549,1503,1520,9935,10860,316,338,5105,5020,131618,131638,11018,9697,2737,2766,12035,12939,638,655,105923,101122,95459,90954,1947,1903,4515,4116,776,801,244,210,2982,3138,98124,93808,2811,2702,6635,6405,1320,1372,442,406
191,50,8,1,Colorado,Adams County,11,1,36180,18387,17793,15374,14660,806,838,479,488,660,691,53,52,1015,1064,16337,15679,1319,1352,716,757,1050,1094,96,92,9376,9022,7373,6941,609,655,84,83,595,625,20,28,695,690,8040,7609,981,1012,148,143,914,948,46,53,9011,8771,8001,7719,197,183,395,405,65,66,33,24,320,374,8297,8070,338,340,568,614,136,146,50,39
192,50,8,1,Colorado,Adams County,11,2,37711,19250,18461,16268,15345,841,864,413,423,714,737,34,42,980,1050,17203,16346,1317,1379,672,693,1082,1113,80,91,9204,8952,7192,6809,640,686,88,72,633,664,12,27,639,694,7811,7479,970,1062,152,136,937,965,41,59,10046,9509,9076,8536,201,178,325,351,81,73,22,15,341,356,9392,8867,347,317,520,557,145,148,39,32
193,50,8,1,Colorado,Adams County,11,3,39279,20052,19227,16793,16005,860,884,513,502,778,796,47,42,1061,998,17785,16951,1403,1360,809,825,1142,1115,103,88,9185,8813,7068,6761,623,650,104,95,698,721,30,18,662,568,7707,7309,1011,972,161,145,967,951,57,39,10867,10414,9725,9244,237,234,409,407,80,75,17,24,399,430,10078,9642,392,388,648,680,175,164,46,49
194,50,8,1,Colorado,Adams County,11,4,35091,18097,16994,15228,14234,789,738,491,489,723,676,35,38,831,819,16002,14997,1209,1122,782,769,939,939,74,82,8050,7505,6195,5745,589,515,99,105,650,608,20,21,497,511,6667,6232,907,818,152,167,813,801,36,43,10047,9489,9033,8489,200,223,392,384,73,68,15,17,334,308,9335,8765,302,304,630,602,126,138,38,39
195,50,8,1,Colorado,Adams County,11,5,31852,16330,15522,13681,12994,658,690,498,445,740,705,52,43,701,645,14316,13590,983,971,766,712,930,883,89,84,7874,7635,6093,5976,503,522,120,101,688,640,31,28,439,368,6492,6320,764,732,194,172,832,761,55,46,8456,7887,7588,7018,155,168,378,344,52,65,21,15,262,277,7824,7270,219,239,572,540,98,122,34,38
196,50,8,1,Colorado,Adams County,11,6,41126,21310,19816,17846,16684,1095,802,497,446,1113,1134,50,58,709,692,18470,17323,1351,1031,792,750,1361,1368,114,106,12797,11772,10202,9460,911,648,138,129,1051,1063,32,36,463,436,10619,9860,1097,829,255,226,1247,1258,71,70,8513,8044,7644,7224,184,154,359,317,62,71,18,22,246,256,7851,7463,254,202,537,524,114,110,43,36
197,50,8,1,Colorado,Adams County,11,7,42569,22092,20477,18738,17477,1020,753,575,443,1129,1159,53,44,577,601,19255,18014,1179,895,833,736,1354,1391,92,98,13605,12802,11190,10577,841,605,126,132,1052,1094,26,28,370,366,11520,10907,952,708,223,235,1249,1285,57,63,8487,7675,7548,6900,179,148,449,311,77,65,27,16,207,235,7735,7107,227,187,610,501,105,106,35,35
198,50,8,1,Colorado,Adams County,11,8,40637,20960,19677,18050,16906,857,735,572,447,890,1031,46,39,545,519,18525,17358,986,856,856,711,1102,1227,104,93,12357,11971,10353,9959,691,573,139,129,835,970,23,28,316,312,10632,10235,772,659,236,218,1000,1140,59,64,8603,7706,7697,6947,166,162,433,318,55,61,23,11,229,207,7893,7123,214,197,620,493,102,87,45,29
199,50,8,1,Colorado,Adams County,11,9,34887,18133,16754,15797,14408,737,613,422,401,707,857,39,38,431,437,16174,14801,831,702,679,656,845,1008,78,74,10586,9936,8929,8241,626,484,98,129,657,798,22,23,254,261,9152,8477,688,544,205,233,768,921,46,47,7547,6818,6868,6167,111,129,324,272,50,59,17,15,177,176,7022,6324,143,158,474,423,77,87,32,27
